Date,Station,Measure,Rate,Denom,Numer,Value
2024-07-24,DAL,Scheduled_Maintenance_Findings,,,9.1,
2024-07-24,DAL,Unscheduled_Maintenance,,,11.5,
2024-07-17,DAL,EMO-MX,0.97412481,657,17,
2024-07-17,DAL,Extreme_Delays,,,1.84879,
2024-07-17,DAL,Maintenance_Cancels,,,2.8,
2024-07-17,DAL,Maintenance_Delays,,,11.8,
2024-07-17,DAL,Scheduled_Maintenance_Findings,,,7.5,
2024-07-17,DAL,Unscheduled_Maintenance,,,9.0,
2024-07-10,DAL,EMO-MX,0.985875706,708,10,
2024-07-10,DAL,Extreme_Delays,,,1.43248,
2024-07-10,DAL,Maintenance_Cancels,,,2.8,
2024-07-10,DAL,Maintenance_Delays,,,12.4,
2024-07-10,DAL,Scheduled_Maintenance_Findings,,,7.0,
2024-07-10,DAL,Unscheduled_Maintenance,,,10.7,
2024-07-03,DAL,EMO-MX,0.978601997,701,15,
2024-07-03,DAL,Extreme_Delays,,,1.27768,
2024-07-03,DAL,Maintenance_Cancels,,,2.8,
2024-07-03,DAL,Maintenance_Delays,,,12.2,
2024-07-03,DAL,Scheduled_Maintenance_Findings,,,9.1,
2024-07-03,DAL,Unscheduled_Maintenance,,,11.5,
2024-06-26,DAL,EMO-MX,0.980362538,662,13,
2024-06-26,DAL,Extreme_Delays,,,1.19674,
2024-06-26,DAL,Maintenance_Cancels,,,2.8,
2024-06-26,DAL,Maintenance_Delays,,,11.8,
2024-06-26,DAL,Scheduled_Maintenance_Findings,,,7.5,
2024-06-26,DAL,Unscheduled_Maintenance,,,9.0,
2024-06-19,DAL,EMO-MX,0.984593838,714,11,
2024-06-19,DAL,Extreme_Delays,,,0.95697,
2024-06-19,DAL,Maintenance_Cancels,,,2.8,
2024-06-19,DAL,Maintenance_Delays,,,12.4,
2024-06-19,DAL,Scheduled_Maintenance_Findings,,,7.0,
2024-06-19,DAL,Unscheduled_Maintenance,,,10.7,
2024-06-12,DAL,EMO-MX,0.985714286,700,10,
2024-06-12,DAL,Extreme_Delays,,,1.03864,
2024-06-12,DAL,Maintenance_Cancels,,,2.8,
2024-06-12,DAL,Maintenance_Delays,,,12.2,
2024-06-12,DAL,Scheduled_Maintenance_Findings,,,9.1,
2024-06-12,DAL,Unscheduled_Maintenance,,,11.5,
2024-06-05,DAL,EMO-MX,0.982733813,695,12,
2024-06-05,DAL,Extreme_Delays,,,0.92334,
2024-06-05,DAL,Maintenance_Cancels,,,2.8,
2024-06-05,DAL,Maintenance_Delays,,,11.8,
2024-06-05,DAL,Scheduled_Maintenance_Findings,,,7.5,
2024-06-05,DAL,Unscheduled_Maintenance,,,9.0,
2024-05-29,DAL,EMO-MX,0.978902954,711,15,
2024-05-29,DAL,Extreme_Delays,,,0.9056,
2024-05-29,DAL,Maintenance_Cancels,,,2.8,
2024-05-29,DAL,Maintenance_Delays,,,12.4,
2024-05-29,DAL,Scheduled_Maintenance_Findings,,,7.0,
2024-05-29,DAL,Unscheduled_Maintenance,,,10.7,
2024-05-22,DAL,EMO-MX,0.981507824,703,13,
2024-05-22,DAL,Extreme_Delays,,,0.88746,
2024-05-22,DAL,Maintenance_Cancels,,,2.8,
2024-05-22,DAL,Maintenance_Delays,,,12.2,
2024-05-22,DAL,Scheduled_Maintenance_Findings,,,9.1,
2024-05-22,DAL,Unscheduled_Maintenance,,,11.5,
2024-05-15,DAL,EMO-MX,0.98115942,690,13,
2024-05-15,DAL,Extreme_Delays,,,0.92205,
2024-05-15,DAL,Maintenance_Cancels,,,2.8,
2024-05-15,DAL,Maintenance_Delays,,,11.8,
2024-05-15,DAL,Scheduled_Maintenance_Findings,,,7.5,
2024-05-15,DAL,Unscheduled_Maintenance,,,9.0,
2024-05-08,DAL,EMO-MX,0.974860335,716,18,
2024-05-08,DAL,Extreme_Delays,,,0.95478,
2024-05-08,DAL,Maintenance_Cancels,,,2.8,
2024-05-08,DAL,Maintenance_Delays,,,12.4,
2024-05-08,DAL,Scheduled_Maintenance_Findings,,,7.0,
2024-05-08,DAL,Unscheduled_Maintenance,,,10.7,
2024-05-01,DAL,EMO-MX,0.976256983,716,17,
2024-05-01,DAL,Extreme_Delays,,,0.80118,
2024-05-01,DAL,Maintenance_Cancels,,,2.8,
2024-05-01,DAL,Maintenance_Delays,,,12.2,
2024-05-01,DAL,Scheduled_Maintenance_Findings,,,9.1,
2024-05-01,DAL,Unscheduled_Maintenance,,,11.5,
2024-04-24,DAL,EMO-MX,0.982008996,667,12,
2024-04-24,DAL,Extreme_Delays,,,1.14224,
2024-04-24,DAL,Maintenance_Cancels,,,2.8,
2024-04-24,DAL,Maintenance_Delays,,,11.8,
2024-04-24,DAL,Scheduled_Maintenance_Findings,,,7.5,
2024-04-24,DAL,Unscheduled_Maintenance,,,9.0,
2024-04-17,DAL,EMO-MX,0.986445783,664,9,
2024-04-17,DAL,Extreme_Delays,,,0.86108,
2024-04-17,DAL,Maintenance_Cancels,,,2.8,
2024-04-17,DAL,Maintenance_Delays,,,12.4,
2024-04-17,DAL,Scheduled_Maintenance_Findings,,,7.0,
2024-04-17,DAL,Unscheduled_Maintenance,,,10.7,
2024-04-10,DAL,EMO-MX,0.978873239,710,15,
2024-04-10,DAL,Extreme_Delays,,,0.97113,
2024-04-10,DAL,Maintenance_Cancels,,,2.8,
2024-04-10,DAL,Maintenance_Delays,,,12.2,
2024-04-10,DAL,Scheduled_Maintenance_Findings,,,9.1,
2024-04-10,DAL,Unscheduled_Maintenance,,,11.5,
2024-04-03,DAL,EMO-MX,0.979621543,687,14,
2024-04-03,DAL,Extreme_Delays,,,0.83244,
2024-04-03,DAL,Maintenance_Cancels,,,2.8,
2024-04-03,DAL,Maintenance_Delays,,,11.8,
2024-04-03,DAL,Scheduled_Maintenance_Findings,,,7.5,
2024-04-03,DAL,Unscheduled_Maintenance,,,9.0,
2024-03-27,DAL,EMO-MX,0.973724884,647,17,
2024-03-27,DAL,Extreme_Delays,,,0.68386,
2024-03-27,DAL,Maintenance_Cancels,,,2.8,
2024-03-27,DAL,Maintenance_Delays,,,12.4,
2024-03-27,DAL,Scheduled_Maintenance_Findings,,,7.0,
2024-03-27,DAL,Unscheduled_Maintenance,,,10.7,
2024-03-20,DAL,EMO-MX,0.981321839,696,13,
2024-03-20,DAL,Extreme_Delays,,,0.72179,
2024-03-20,DAL,Maintenance_Cancels,,,2.8,
2024-03-20,DAL,Maintenance_Delays,,,12.2,
2024-03-20,DAL,Scheduled_Maintenance_Findings,,,9.1,
2024-03-20,DAL,Unscheduled_Maintenance,,,11.5,
2024-03-13,DAL,EMO-MX,0.980141844,705,14,
2024-03-13,DAL,Extreme_Delays,,,0.70342,
2024-03-13,DAL,Maintenance_Cancels,,,2.8,
2024-03-13,DAL,Maintenance_Delays,,,11.8,
2024-03-13,DAL,Scheduled_Maintenance_Findings,,,7.5,
2024-03-13,DAL,Unscheduled_Maintenance,,,9.0,
2024-03-06,DAL,EMO-MX,0.98030303,660,13,
2024-03-06,DAL,Extreme_Delays,,,0.9512,
2024-03-06,DAL,Maintenance_Cancels,,,2.8,
2024-03-06,DAL,Maintenance_Delays,,,12.4,
2024-03-06,DAL,Scheduled_Maintenance_Findings,,,7.0,
2024-03-06,DAL,Unscheduled_Maintenance,,,10.7,
2024-02-28,DAL,EMO-MX,0.983333333,660,11,
2024-02-28,DAL,Extreme_Delays,,,0.96299,
2024-02-28,DAL,Maintenance_Cancels,,,2.8,
2024-02-28,DAL,Maintenance_Delays,,,12.2,
2024-02-28,DAL,Scheduled_Maintenance_Findings,,,9.1,
2024-02-28,DAL,Unscheduled_Maintenance,,,11.5,
2024-02-21,DAL,EMO-MX,0.975886525,705,17,
2024-02-21,DAL,Extreme_Delays,,,1.20007,
2024-02-21,DAL,Maintenance_Cancels,,,2.8,
2024-02-21,DAL,Maintenance_Delays,,,11.8,
2024-02-21,DAL,Scheduled_Maintenance_Findings,,,7.5,
2024-02-21,DAL,Unscheduled_Maintenance,,,9.0,
2024-02-14,DAL,EMO-MX,0.986937591,689,9,
2024-02-14,DAL,Extreme_Delays,,,0.85461,
2024-02-14,DAL,Maintenance_Cancels,,,2.8,
2024-02-14,DAL,Maintenance_Delays,,,12.4,
2024-02-14,DAL,Scheduled_Maintenance_Findings,,,7.0,
2024-02-14,DAL,Unscheduled_Maintenance,,,10.7,
2024-02-07,DAL,EMO-MX,0.987711214,651,8,
2024-02-07,DAL,Extreme_Delays,,,1.09663,
2024-02-07,DAL,Maintenance_Cancels,,,2.8,
2024-02-07,DAL,Maintenance_Delays,,,12.2,
2024-02-07,DAL,Scheduled_Maintenance_Findings,,,9.1,
2024-02-07,DAL,Unscheduled_Maintenance,,,11.5,
2024-01-31,DAL,EMO-MX,0.979971388,699,14,
2024-01-31,DAL,Extreme_Delays,,,0.83302,
2024-01-31,DAL,Maintenance_Cancels,,,2.8,
2024-01-31,DAL,Maintenance_Delays,,,11.8,
2024-01-31,DAL,Scheduled_Maintenance_Findings,,,7.5,
2024-01-31,DAL,Unscheduled_Maintenance,,,9.0,
2024-01-24,DAL,EMO-MX,0.971014493,690,20,
2024-01-24,DAL,Extreme_Delays,,,0.90143,
2024-01-24,DAL,Maintenance_Cancels,,,2.8,
2024-01-24,DAL,Maintenance_Delays,,,12.4,
2024-01-24,DAL,Scheduled_Maintenance_Findings,,,7.0,
2024-01-24,DAL,Unscheduled_Maintenance,,,10.7,
2024-01-17,DAL,EMO-MX,0.977409639,664,15,
2024-01-17,DAL,Extreme_Delays,,,0.96017,
2024-01-17,DAL,Maintenance_Cancels,,,2.8,
2024-01-17,DAL,Maintenance_Delays,,,12.2,
2024-01-17,DAL,Scheduled_Maintenance_Findings,,,9.1,
2024-01-17,DAL,Unscheduled_Maintenance,,,11.5,
2024-01-10,DAL,EMO-MX,0.983408748,663,11,
2024-01-10,DAL,Extreme_Delays,,,0.54385,
2024-01-10,DAL,Maintenance_Cancels,,,2.8,
2024-01-10,DAL,Maintenance_Delays,,,11.8,
2024-01-10,DAL,Scheduled_Maintenance_Findings,,,7.5,
2024-01-10,DAL,Unscheduled_Maintenance,,,9.0,
2024-01-03,DAL,EMO-MX,0.982832618,699,12,
2024-01-03,DAL,Extreme_Delays,,,0.52495,
2024-01-03,DAL,Maintenance_Cancels,,,2.8,
2024-01-03,DAL,Maintenance_Delays,,,12.4,
2024-01-03,DAL,Scheduled_Maintenance_Findings,,,7.0,
2024-01-03,DAL,Unscheduled_Maintenance,,,10.7
